22822;103.21.59.0;24;5 days, 1:26:27;1555913346;1556350533;['22822', '19905'];0
22822;99.192.182.0;24;0:00:15;1556395530;1556395545;['22822', '54825', '396093', '396093'];0
22822;147.194.46.0;24;11:48:18;1556342889;1556385387;['22822', '19905'];0
22822;99.192.182.0;24;0:00:12;1556396708;1556396720;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:18;1556397289;1556397307;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:19;1556397896;1556397915;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:20;1556398575;1556398595;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:19;1556419394;1556419413;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:12;1556424804;1556424816;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:19;1556424851;1556424870;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:18;1556424905;1556424923;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:18;1556424954;1556424972;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:12;1556425089;1556425101;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:12;1556425136;1556425148;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:17;1556425184;1556425201;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:16;1556425330;1556425346;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:20;1556425425;1556425445;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:19;1556425477;1556425496;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:13;1556425566;1556425579;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:17;1556425618;1556425635;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:19;1556425667;1556425686;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:20;1556425719;1556425739;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:21;1556425805;1556425826;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:19;1556425857;1556425876;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:19;1556457195;1556457214;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:15;1556457469;1556457484;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:18;1556457516;1556457534;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:21;1556457567;1556457588;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:21;1556457619;1556457640;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:19;1556457671;1556457690;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:18;1556457725;1556457743;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:21;1556457762;1556457783;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:14;1556457818;1556457832;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:15;1556457867;1556457882;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:13;1556457913;1556457926;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:17;1556458075;1556458092;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:14;1556458124;1556458138;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:20;1556458170;1556458190;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:11;1556458893;1556458904;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:15;1556458939;1556458954;['22822', '54825', '396093', '396093'];0
22822;99.192.182.0;24;0:00:18;1556458989;1556459007;['22822', '54825', '396093', '396093'];0
